,user_id,device_id,merchant_id,card_number,transaction_amount,hour_of_day,has_cbk,Prediction
2812,2112,-1,393,1314,244.59,0,False,False
736,1812,-1,1710,1995,3503.52,1,False,True
2406,415,732,1122,1237,990.06,18,False,True
2967,2351,-1,670,2418,679.95,15,False,False
2194,2603,-1,459,820,514.25,14,False,False
642,1485,-1,446,72,3506.8,15,False,True
1587,915,-1,51,600,209.67,14,False,False
1357,1244,146,1377,238,271.63,23,False,False
3023,393,-1,1462,315,1643.96,15,False,False
457,549,-1,1017,54,421.84,22,False,False
3042,80,-1,799,2211,314.51,0,False,False
2244,156,1553,1385,2030,180.58,17,False,False
1584,1428,1597,1668,1866,210.77,14,False,False
239,620,1114,104,394,1083.22,18,False,False
695,1058,1598,1179,2826,842.11,12,False,True
2330,765,1985,1622,1117,1686.19,14,False,False
889,2103,198,1729,144,3165.49,18,False,True
1788,732,1570,706,1626,3066.53,19,False,True
2260,2400,1363,263,2009,446.04,5,False,False
443,625,997,1243,40,1386.43,23,False,True
1795,2648,67,664,2339,1332.61,19,False,False
1552,1027,1870,520,1602,628.33,15,False,False
251,211,629,1309,857,1576.68,18,True,True
354,486,404,472,2776,199.96,14,False,False
3100,1721,-1,50,950,203.88,15,False,False
2377,2063,574,200,2797,410.23,21,False,False
596,2582,884,20,146,2288.47,16,True,True
1577,1280,622,1641,1637,253.68,14,False,False
1177,134,737,1655,365,636.78,16,True,True
134,696,-1,1297,1684,695.36,3,True,False
817,254,1377,852,490,567.14,21,True,True
184,1846,941,1487,2501,334.46,21,False,False
1022,75,-1,473,2745,131.75,11,False,False
218,428,1709,1426,2783,496.78,19,False,True
1883,1477,456,1286,739,978.74,16,False,False
1117,2703,916,1743,1794,231.71,10,False,False
2008,254,1377,1272,2528,1.3,6,False,True
903,1953,1473,418,1293,2708.62,18,False,False
1454,573,9,670,2221,325.31,19,False,False
3091,821,-1,297,384,1520.62,16,False,False
2753,579,-1,50,1239,165.65,0,False,False
2411,937,1045,428,382,611.62,18,False,True
1200,1444,101,632,1823,30.53,15,False,False
2314,1650,1292,599,748,1512.2,17,False,True
1936,1766,1882,138,2286,273.87,14,False,False
2953,1331,-1,891,2403,706.28,19,False,False
2015,2448,1133,77,1656,678.08,2,True,True
2856,2329,-1,489,2335,230.53,13,False,False
2389,1511,1287,960,2065,1049.4,19,True,True
2086,298,896,919,1772,10.32,21,False,False
1271,610,1132,1505,380,861.65,14,False,True
1937,2000,1236,724,252,324.65,14,False,False
3081,1532,-1,1508,2258,427.95,18,False,False
192,125,-1,547,2581,620.51,20,False,False
1450,331,326,332,2790,1003.6,19,False,True
229,1025,109,893,311,2.23,19,False,False
2466,2564,933,1281,1139,481.33,13,False,False
1972,640,-1,1184,1020,415.6,13,False,False
1656,1774,515,725,112,3574.69,2,True,True
174,926,1037,24,2411,3258.81,21,False,True
2793,139,-1,1214,1786,674.18,16,False,False
857,1153,1489,1680,2838,80.36,19,False,False
324,1036,123,1720,1797,791.67,15,False,True
756,2468,719,879,163,1012.42,0,True,True
2005,599,1706,161,2344,1203.12,10,False,True
759,1768,224,10,1731,1257.51,23,False,False
2850,1470,-1,670,376,702.49,14,False,False
2906,1014,-1,1402,1492,127.27,15,False,False
1225,209,446,339,526,602.0,12,False,True
2742,2564,933,1281,1139,50.38,14,False,False
321,1518,1355,1725,2705,330.05,15,False,False
3045,1056,-1,563,1373,3111.74,21,False,True
2599,2355,175,1060,2461,183.72,18,False,False
555,5,-1,907,2653,2543.0,18,False,True
3163,1663,-1,341,586,568.0,16,False,False
322,1734,815,589,1232,278.1,15,False,False
2429,1049,1185,340,2620,4004.99,16,False,True
3013,769,-1,304,1517,364.63,18,False,False
1730,2306,1531,641,2322,907.5,22,False,False
2819,2645,-1,799,2196,78.71,21,False,False
478,2340,1346,777,1736,234.72,21,False,False
1727,1083,-1,57,1116,748.36,22,False,False
1980,1285,1632,79,688,404.09,12,False,False
2859,497,-1,1554,736,303.08,12,False,False
605,1514,269,352,1693,202.29,16,False,False
949,1275,1904,305,343,172.02,16,False,False
44,1250,-1,666,2116,217.01,18,False,False
1356,2184,808,1089,1567,10.21,23,False,False
557,141,1011,844,563,80.66,18,False,False
139,1884,-1,1220,286,270.03,2,False,False
2689,505,1286,114,2263,524.03,20,False,False
1567,1113,763,1335,485,263.94,14,False,False
1034,2163,438,1746,420,358.35,2,False,False
2387,69,1202,858,31,237.87,20,False,False
254,2248,502,533,2453,10.23,18,False,False
2575,1341,295,561,131,258.03,0,False,False
2768,2158,-1,1290,1127,363.85,19,False,False
3150,2425,-1,11,532,331.59,0,False,False
3134,1328,-1,1634,2563,577.53,18,False,False
299,1566,1591,1130,2744,3003.4,16,True,True
538,1845,1535,70,2621,1012.65,18,True,True
2379,793,266,1235,2560,207.09,20,False,False
1797,252,1502,1051,1903,296.94,19,False,False
3180,2594,-1,323,2613,2936.66,20,True,True
442,2234,1499,554,1788,1343.3,23,False,False
432,119,1094,975,2847,321.04,0,False,False
178,2423,1541,1732,1784,1069.82,21,False,True
3088,1274,-1,131,2291,58.77,17,False,False
976,1480,81,412,2623,1234.6,15,False,False
1497,2058,-1,111,1539,2285.34,17,False,True
309,2373,1379,1439,77,85.59,15,False,False
978,1397,393,234,2438,286.41,14,False,False
2636,1975,-1,887,756,185.52,22,False,False
2461,1986,335,260,2110,247.41,14,False,False
52,236,-1,512,2690,70.58,17,False,False
2303,582,825,896,2827,335.15,19,False,False
1572,194,219,698,477,232.99,14,False,False
51,1838,676,47,828,199.28,17,False,False
1559,1596,-1,135,2883,697.63,15,False,False
63,755,134,354,1755,186.66,16,False,False
1421,643,1695,134,2725,1619.31,20,False,True
368,387,103,1134,714,2528.98,13,False,True
1204,467,1447,1708,2890,5.4,14,False,False
810,426,1314,1292,396,50.02,21,False,False
2786,374,-1,427,846,1458.29,17,False,False
1268,2241,1952,395,2754,609.51,15,True,True
120,302,693,1196,553,555.53,12,False,True
1566,2590,311,1379,1086,1173.94,15,False,False
1436,2608,1005,19,265,456.48,19,True,True
1732,924,834,1311,1181,771.19,21,False,False
1644,1355,1869,1155,1176,1215.26,11,False,False
70,2295,-1,507,2432,361.19,15,False,False
1684,1568,925,1511,2050,302.63,0,False,False
2313,955,533,723,1141,815.81,17,False,False
544,2567,790,945,719,629.16,18,False,True
1690,928,179,561,2326,312.01,23,False,False
2754,1318,-1,442,2665,4023.15,23,True,True
1491,247,330,1319,2320,3936.39,17,True,True
3046,2498,-1,896,1404,259.26,20,False,False
257,1760,149,302,2215,1352.34,17,True,False
256,620,1114,104,397,968.03,18,False,True
289,2619,1149,575,1295,264.19,16,False,False
1114,853,721,167,701,99.2,12,False,False
1127,935,1705,120,2327,394.13,0,False,False
2238,1388,459,1542,0,1381.81,18,False,False
240,2624,-1,771,582,1737.64,18,False,False
1726,347,1811,623,2906,1358.87,22,False,True
3043,634,-1,591,2788,380.8,23,False,False
3114,1637,-1,606,1076,64.71,11,False,False
1951,1682,217,359,2656,969.87,14,False,True
1665,2448,1133,77,1654,792.58,1,True,True
2356,2045,1524,749,2130,1124.7,1,False,False
1475,2699,445,311,1277,466.64,18,False,False
263,302,693,339,1931,643.96,17,True,True
2952,2035,-1,1536,1142,636.24,19,False,False
2227,2462,-1,896,2436,492.17,21,False,False
214,842,875,1140,2043,251.62,19,False,False
2717,1600,986,176,1372,1717.86,12,False,False
270,1357,1976,380,59,154.98,17,False,False
809,694,1004,270,1879,257.07,21,False,False
1402,2662,337,322,142,2624.09,21,False,True
2628,651,1262,267,1893,2376.62,0,False,True
1763,2490,358,923,2101,700.8,20,False,False
1933,1170,439,603,106,1012.37,15,False,True
1627,632,1701,1739,2595,226.39,12,False,False
1659,1765,170,538,2209,12.18,2,False,False
3051,265,-1,976,2505,418.23,15,False,False
76,2308,746,1626,271,614.22,15,False,True
1261,997,242,1097,2806,70.42,17,False,False
990,2120,1977,351,2227,411.01,14,False,False
811,2539,1273,1386,1946,378.46,21,False,False
144,1988,249,786,1941,98.27,1,False,False
203,306,394,714,1512,279.23,20,False,False
430,2008,-1,540,487,230.49,0,False,False
45,615,-1,1088,126,365.77,18,False,False
2841,202,-1,1554,837,96.3,16,False,False
410,2105,1244,1523,1407,678.81,1,False,False
414,1905,-1,1748,2515,370.68,0,False,False
1653,2198,74,96,2109,210.26,2,False,False
1029,1567,630,1239,1051,20.17,3,False,False
2847,1362,-1,750,1107,458.89,14,False,False
2168,780,833,898,231,728.21,16,False,True
952,1980,774,1307,2016,267.73,16,False,False
152,1777,483,1291,801,192.82,23,False,False
3050,339,-1,762,1125,1500.31,16,False,False
2037,2217,1059,532,1719,10.19,0,False,False
940,2413,1852,1365,2394,295.76,16,False,False
1914,744,753,1036,363,2082.94,15,False,True
1001,2064,-1,1479,964,1248.89,13,False,False
1395,1662,837,693,2363,40.48,21,False,False
1702,1222,-1,1322,1442,209.12,23,False,False
0,2609,567,554,465,374.56,23,False,False
2635,313,-1,1552,1763,914.24,22,False,False
439,2591,1819,1061,2032,3438.37,23,False,True
2273,2304,1361,1654,2006,2526.02,23,True,True
2649,2004,558,1444,2514,320.8,19,False,False
2910,1889,-1,1182,2558,98.12,14,False,False
2202,76,1162,608,66,375.12,13,False,False
332,2220,1052,1018,2280,266.78,14,False,False
682,2326,587,1612,1049,1146.17,13,False,False
2623,953,1081,747,2129,1194.03,1,False,False
346,257,-1,450,1537,565.24,14,False,False
291,161,1708,1599,1298,571.64,16,False,False
298,2578,1518,1623,2831,361.81,16,False,False
801,2407,503,1147,389,177.29,21,False,False
211,1329,-1,364,1001,767.32,19,False,False
32,1850,-1,1027,703,2803.32,19,True,True
1423,2460,642,1466,675,1576.59,20,True,True
2587,147,675,1354,859,288.51,21,False,False
14,1013,1456,1,2002,471.66,20,False,False
93,1332,958,1705,2358,27.6,14,False,False
2401,1800,1900,1402,624,341.67,18,False,False
621,102,1117,1589,153,424.73,15,False,False
764,481,578,1445,2789,623.63,23,True,True
2447,885,102,896,493,270.15,15,False,False
149,1874,1680,129,84,80.63,0,False,False
1509,418,1703,1529,622,318.2,17,False,False
2807,1343,-1,1242,1515,1224.28,10,False,False
2022,1524,1390,960,2698,2490.08,1,False,True
2020,2448,1133,77,1670,727.08,2,True,True
1228,1330,-1,536,680,286.32,12,False,False
2153,803,256,274,1351,697.76,17,False,False
2276,2531,128,1450,1294,66.17,23,False,False
2233,1442,1376,896,1920,195.54,20,False,False
2184,352,646,1354,2771,190.38,15,False,False
859,1921,1725,1161,1757,60.95,19,False,False
1235,2430,204,699,2852,20.68,5,False,False
1563,831,1136,1553,1213,431.12,15,False,False
679,2067,1818,353,1119,214.7,13,False,False
944,92,683,1460,2399,356.08,16,False,False
2713,31,1557,1354,856,73.89,13,False,False
772,2197,1520,803,483,1661.58,23,False,True
2883,2020,-1,1360,2687,1631.24,20,True,True
2554,2659,1271,882,2245,326.0,13,False,False
2638,438,-1,631,1851,40.23,21,False,False
188,302,693,1196,539,648.94,20,True,True
1784,905,1508,838,1032,588.13,19,False,True
1289,2085,1103,1081,2650,943.14,0,True,True
1716,2553,1140,161,606,530.95,22,False,True
2380,96,858,1374,217,637.65,20,False,True
1399,637,132,1632,615,30.45,21,False,False
423,1258,1873,809,2836,275.34,0,False,False
1554,1131,965,1747,300,172.92,15,False,False
314,201,1168,1460,713,266.67,15,False,False
1149,660,1951,1622,2821,4072.9,20,True,True
246,896,248,134,876,2174.53,18,False,False
2600,608,971,870,598,2009.24,18,False,True
2228,741,360,960,912,426.84,21,True,True
1178,1257,1971,948,1725,65.67,16,False,False
840,544,856,670,1158,1065.44,20,False,False
1871,644,1581,130,1709,10.96,17,False,False
2765,2094,-1,1576,1093,80.77,20,False,False
945,2273,1142,707,1699,4.31,16,False,False
1532,1242,-1,199,921,542.9,16,False,False
2516,2085,1103,909,895,4097.21,18,True,True
2969,648,-1,624,255,2590.71,15,False,True
964,270,29,841,293,553.66,15,True,True
1822,2367,-1,643,2265,1058.91,18,False,False
812,2582,884,356,129,2040.15,21,True,True
1576,136,1685,798,1044,235.14,14,False,False
1602,1782,50,1206,74,224.15,13,False,False
1915,1162,1821,248,1500,369.0,15,False,False
2185,564,1283,1410,2072,133.41,15,False,False
506,208,1267,691,2132,367.19,20,False,False
1381,1194,807,5,691,3816.19,22,False,True
864,166,979,1141,1416,167.75,19,False,False
175,661,315,663,1546,137.05,21,False,False
581,815,1795,1393,889,270.88,17,False,False
2210,1842,1668,276,73,288.41,11,False,False
1720,2097,1738,1324,2485,86.22,22,False,False
485,1043,949,1280,1028,156.45,21,False,False
2358,1001,852,1054,898,99.78,1,False,False
2592,2193,1471,1646,1183,2771.21,20,False,True
654,2451,1568,1600,1801,66.85,14,False,False
1729,484,1909,1341,2742,4058.61,22,True,True
1093,1417,466,662,308,219.9,16,False,False
331,584,725,830,1680,963.89,15,True,True
1503,57,125,667,2373,1013.95,17,False,False
1326,1697,1492,1578,1913,70.44,20,False,False
3025,1832,-1,589,423,144.41,14,False,False
1398,302,1091,339,880,619.63,21,True,True
1472,1935,1594,100,2359,91.96,18,False,False
528,790,1300,743,933,188.17,19,False,False
2486,2070,1121,229,2702,1606.5,1,False,True
2876,2525,-1,838,681,178.12,22,False,False
1213,1406,619,1401,76,933.4,14,False,True
2954,199,-1,236,68,445.94,19,False,False
495,1917,660,424,21,10.69,20,False,False
2046,2076,-1,728,507,711.5,23,False,True
1413,2542,-1,1321,2377,55.05,20,False,False
2118,1989,709,534,1520,10.43,20,False,False
266,2387,954,951,2368,326.88,17,False,False
1376,1339,1275,288,262,503.12,22,False,True
196,481,578,1445,2722,568.42,20,True,True
411,1469,-1,23,479,3.33,1,False,False
88,236,-1,512,2690,40.93,14,False,False
1044,707,-1,1709,230,112.48,0,False,False
2791,1279,-1,679,2911,4043.43,16,False,False
1611,863,689,1460,83,205.06,13,False,False
2012,1886,-1,1382,454,169.06,3,False,False
2208,1340,1083,1205,1554,2033.16,11,False,False
2823,1867,-1,909,1188,3942.48,19,True,True
942,2080,1184,1387,456,2.06,16,False,False
2490,1831,1027,896,1216,243.4,23,False,False
1414,1582,135,1590,1375,1278.63,20,False,False
408,492,-1,1094,968,129.69,1,False,False
25,215,1378,565,2750,2022.55,19,False,True
1670,1211,940,34,2584,32.89,1,False,False
1042,1687,1835,146,1534,98.41,0,False,False
2003,1604,313,755,1172,168.31,11,False,False
471,308,750,1554,2160,211.5,21,False,False
1862,1087,-1,1524,1089,1444.27,17,False,False
1036,2023,1060,403,1281,73.88,1,False,False
2570,2499,1631,896,1706,549.53,1,False,True
2033,1018,-1,1620,2549,95.61,0,False,False
1582,1498,1920,1094,811,313.18,14,False,False
727,2103,198,20,127,1834.09,2,True,True
3129,493,-1,11,407,462.26,19,False,False
1455,324,937,1150,1065,2434.4,19,False,True
67,1110,1786,1298,1739,227.94,16,False,False
433,1683,-1,638,2149,75.93,0,False,False
567,2115,-1,1486,909,386.02,17,True,False
1461,321,870,787,386,1075.63,19,False,True
31,1045,950,1537,18,854.05,19,False,False
2186,1856,1265,9,2582,945.0,15,False,True
1316,2454,879,280,1923,176.34,21,False,False
2319,2278,-1,1115,1319,243.75,16,False,False
511,129,316,350,2232,931.9,19,False,True
862,2411,1085,384,2177,95.58,19,False,False
2289,649,1575,805,1283,1033.99,20,False,False
58,1033,1484,1277,1413,790.71,16,False,False
2964,1640,-1,64,2175,259.66,16,False,False
343,2261,889,268,2188,35.07,14,False,False
1373,867,1430,1163,830,775.27,22,False,True
1032,2545,1938,367,301,2226.28,2,False,True
166,960,-1,869,1936,1380.77,22,False,False
124,302,693,1196,540,607.45,11,True,True
2114,1012,1817,31,1427,4035.68,20,False,False
2632,451,1789,1258,2837,493.0,23,False,True
1362,2051,275,198,1926,191.35,23,False,False
3182,2523,-1,589,2226,1155.28,19,False,False
598,569,1799,224,1144,2.71,16,False,False
1744,2189,-1,508,2602,972.84,21,False,True
2394,2574,581,209,521,310.17,19,False,False
3012,1425,-1,525,2618,1378.3,18,False,False
1128,1396,-1,1361,24,80.13,23,False,False
3064,2025,-1,1077,1977,369.25,2,False,False
746,275,1154,1094,2111,198.36,0,False,True
1909,858,64,1746,2324,256.89,15,False,False
807,2417,1926,104,398,1169.23,21,False,True
1138,2178,1754,985,1477,39.39,22,False,False
3194,1290,-1,915,2823,744.15,13,False,False
1964,883,284,33,1573,2555.18,13,False,False
1737,834,1590,958,352,566.06,21,True,True
176,1319,921,1474,2712,1604.12,21,True,True
2659,2349,-1,237,1236,85.34,15,False,False
1378,2179,762,1626,2636,635.41,22,False,True
1815,2586,623,1150,2914,630.3,18,False,True
2333,766,58,486,1904,1763.42,14,False,False
1037,593,1380,373,2566,361.54,0,False,False
501,2460,642,70,980,920.63,20,True,True
1809,952,-1,1159,1268,762.08,19,False,False
486,1951,137,1533,10,70.02,21,False,False
80,1450,1008,1497,427,2750.3,15,False,True
1073,1002,1749,888,1465,25.9,19,False,False
3000,628,-1,1103,2022,645.84,20,False,False
2124,2612,1194,22,776,10.64,19,False,False
1407,151,700,1394,612,4006.85,20,False,True
449,1421,212,766,2441,212.77,23,False,False
785,1783,1717,540,224,1339.22,22,False,True
2500,457,1109,896,1243,262.47,21,False,False
532,801,1927,4,947,1022.83,19,False,False
2063,1481,1210,627,793,167.75,22,False,False
2465,2698,542,896,937,317.22,13,False,False
2730,2398,1234,571,1392,4068.12,21,False,True
1767,1684,-1,1485,757,170.38,20,False,False
370,1799,1291,526,671,40.8,13,False,False
402,329,384,317,1209,894.55,2,True,True
1181,1862,1206,1680,735,158.63,16,False,False
1146,1679,1928,510,1886,217.36,21,False,False
2325,1226,-1,1400,2606,420.73,15,False,False
2527,1535,-1,1071,831,188.61,17,False,False
1840,72,235,1001,611,1845.94,18,False,False
3033,1086,-1,1045,1565,169.18,17,False,False
1620,114,620,56,2578,1955.6,13,False,True
450,52,1781,454,502,708.34,23,False,True
2855,1651,-1,166,432,748.69,14,False,False
2059,732,1872,706,1630,1177.96,23,False,False
1100,1095,835,996,2907,269.58,15,False,False
141,1988,249,786,1941,591.58,1,False,False
1251,1939,1915,1537,1919,1557.05,21,False,False
1778,1182,1079,66,1551,207.89,20,False,False
1588,1241,-1,1321,1774,160.89,14,False,False
2149,390,1559,408,457,468.4,18,False,True
572,1873,-1,1713,2218,989.82,17,True,True
1498,2048,369,359,1675,3039.44,17,True,True
1979,1824,1451,871,2365,1120.25,12,False,True
2995,157,-1,1528,1325,10.32,21,False,False
729,2582,884,20,128,2774.51,2,True,True
3002,1767,-1,510,684,386.15,19,False,False
1123,2038,-1,917,2559,262.49,0,False,False
2999,399,-1,576,87,1676.33,21,False,True
527,2250,1455,306,1522,59.68,19,False,False
2176,2626,447,929,2220,40.76,16,False,False
1422,1617,811,653,1478,203.02,20,False,False
3062,1136,-1,1642,2306,1056.76,11,False,False
416,1348,627,52,2181,248.97,0,True,False
177,302,693,1196,556,508.91,21,True,True
2350,682,1690,804,1793,10.09,3,False,False
1825,822,-1,126,812,198.1,18,False,False
1074,103,1419,1004,2167,529.19,19,True,True
1623,2665,382,1421,191,715.95,12,False,True
1873,976,380,896,1595,285.8,17,False,False
2359,1405,827,144,704,343.42,0,False,False
1752,1452,1720,855,245,42.88,21,False,False
2718,1746,153,1595,579,599.02,11,False,False
183,2161,-1,1628,906,50.66,21,True,False
1731,834,1590,958,352,759.38,22,True,True
1299,2013,201,1462,876,1426.75,22,False,True
700,2356,185,146,853,689.08,12,False,True
631,302,1345,339,67,688.87,15,True,True
1694,1433,1863,1499,1147,320.22,23,False,False
2425,1287,31,161,377,272.05,17,False,False
693,2695,1691,1560,452,33.47,12,False,False
479,2111,1595,462,1259,3059.48,21,False,True
1244,1792,822,389,1553,2280.7,23,False,True
678,1144,1551,1413,1827,90.41,13,False,False
2644,2056,1954,882,616,303.85,20,False,False
393,2234,1499,554,1717,802.66,3,False,False
2965,932,-1,837,2314,619.23,16,False,False
3140,2049,-1,168,2609,1038.47,16,True,True
3155,623,-1,314,2892,2124.27,18,False,True
438,576,626,302,2724,1177.77,23,True,True
162,836,1506,97,1930,3989.27,22,True,True
2271,1712,-1,896,1010,239.01,0,False,False
705,2103,198,20,150,2183.76,11,True,True
2209,1666,-1,1746,1180,428.33,11,False,False
2763,1153,1489,1680,2838,151.21,21,False,False
3006,914,-1,932,1750,929.57,18,False,False
1507,1503,528,93,1863,571.22,17,False,False
734,2582,884,20,127,2904.6,2,True,True
2880,172,-1,1700,257,504.57,20,False,False
2935,358,-1,420,2412,417.45,22,False,False
1061,245,-1,1306,2670,192.63,21,False,True
2175,1048,282,1237,2546,335.02,16,False,False
2397,907,403,616,1464,204.43,18,False,False
999,929,1053,119,2455,301.69,13,False,False
30,211,629,1309,857,2092.79,19,True,True
568,1094,624,325,2825,2261.6,17,False,True
554,382,711,1195,2161,318.76,18,False,False
3193,520,-1,258,754,1537.31,14,False,False
1800,23,1387,960,261,1346.26,19,True,True
173,827,1845,496,2378,325.51,21,False,False
2083,2496,1501,492,1428,47.13,21,False,False
296,860,150,1362,196,213.24,16,False,False
325,2627,919,1622,222,3863.2,15,True,True
1995,873,1318,1446,1815,404.82,11,False,False
1286,1205,1051,765,2440,480.53,2,False,False
279,2273,1579,707,1699,5.81,17,False,False
611,1567,630,1239,1051,1603.24,16,False,False
962,678,586,549,1480,474.29,15,False,False
1764,656,-1,223,2435,504.66,20,True,False
1340,1560,1195,1666,2616,606.3,0,False,False
599,828,1278,114,2640,473.35,16,False,True
2821,2485,-1,679,1437,5.43,21,False,False
1451,2385,440,392,823,727.07,19,False,True
3139,2049,-1,168,2609,1545.4,16,True,True
612,906,775,151,306,956.86,16,False,False
2268,2403,1857,341,1030,1242.37,0,False,False
610,185,1483,714,2625,785.63,16,True,True
2113,2141,19,370,965,1062.78,20,False,False
73,684,221,1189,2565,1921.08,15,False,True
48,2421,1046,1605,993,222.74,17,False,False
2899,2348,-1,799,696,98.88,17,False,False
2241,1460,436,634,873,262.7,17,False,False
1626,1161,1745,359,1687,1592.36,12,True,False
881,256,-1,689,2397,52.56,18,False,False
1097,964,-1,1359,1661,337.29,15,False,False
2155,2639,-1,1746,2901,160.49,17,False,True
1113,1554,1490,459,834,443.8,12,False,False
2564,996,853,1648,2792,1129.3,11,False,False
2981,715,-1,16,1360,1704.32,12,False,False
1867,2556,1836,276,316,154.8,17,False,False
2029,2448,1133,77,285,577.19,1,True,True
798,2103,198,356,100,2022.18,21,True,True
2243,2405,1624,1353,2330,207.94,17,False,False
2119,939,644,1008,2590,390.14,20,False,False
1882,2473,303,366,2503,10.56,16,False,False
2697,100,1839,510,1237,199.88,17,False,False
1264,1745,1707,1476,402,45.57,16,False,False
1546,1973,169,1581,33,7.12,16,False,False
1090,2674,292,1577,302,460.35,17,False,False
2307,1253,785,281,574,284.32,18,False,False
1221,830,-1,1501,653,488.89,13,False,False
2708,2439,414,1405,1569,279.42,14,False,False
1006,929,1053,119,1850,1351.21,13,False,False
1211,2069,-1,1685,426,624.26,14,False,False
1105,1394,36,1004,1603,471.1,14,True,True
547,658,-1,265,902,509.7,18,False,False
2405,2494,531,896,951,178.8,18,False,False
1948,837,1793,1417,1508,20.57,14,False,False
1444,458,1488,1457,1954,558.54,19,False,True
2488,925,1402,617,1382,1054.59,1,False,False
670,48,546,752,1748,242.2,13,False,False
2057,1008,1975,1622,1710,4017.96,23,True,True
1666,1774,515,725,145,2782.13,1,True,True
2522,512,1099,1589,926,550.45,18,False,True
2639,405,354,1237,2267,2078.33,21,False,True
108,1143,1203,733,374,343.36,13,False,False
1173,2366,1830,211,431,80.52,17,False,False
582,2050,740,1130,2692,50.64,17,False,False
318,2009,712,1132,1009,201.05,15,False,False
879,572,526,508,1985,2497.46,18,False,True
3179,2392,-1,56,1007,2517.56,21,False,False
2810,2016,-1,791,757,141.56,0,False,False
3117,543,-1,1281,533,577.99,23,False,False
1783,209,446,339,2266,608.08,20,False,True
594,895,32,671,2247,628.06,16,False,False
1025,673,1001,1102,1092,4070.87,11,False,True
1091,442,1307,1638,1825,209.74,16,False,False
2002,28,1636,1304,2813,499.68,11,False,False
2322,777,1336,843,1665,74.63,15,False,False
1667,2188,1019,1107,89,1408.0,1,False,True
3019,718,-1,183,1327,80.52,16,False,False
691,468,452,1330,1716,301.15,12,False,False
676,1801,696,1565,1994,9.18,13,False,False
932,763,-1,1588,19,809.01,17,False,False
56,584,725,1216,1680,170.69,16,True,False
2942,670,-1,820,588,503.24,20,False,False
1886,2238,108,437,2622,1206.7,16,False,True
2161,1352,1460,849,2230,70.43,17,False,False
601,990,926,843,388,296.08,16,False,False
468,198,1424,719,2685,334.78,21,True,False
1941,1074,-1,589,629,300.22,14,False,False
3126,1540,-1,203,768,1564.26,20,False,False
535,465,1844,485,206,2399.7,18,False,True
2147,1207,1858,1607,1200,1138.78,18,False,False
1525,721,1126,858,1566,81.07,16,False,False
2566,1539,-1,896,1940,2278.2,11,False,False
2242,2687,1219,1405,809,226.4,17,False,False
2419,220,1761,817,1785,370.2,17,False,False
2507,514,957,896,99,174.37,20,False,False
69,2121,364,1588,1609,706.62,16,False,False
2803,2664,-1,1679,2356,442.06,13,False,False
2091,2203,457,1108,1316,514.47,21,False,False
436,2379,-1,1636,666,2016.7,23,False,False
2494,949,1599,430,1412,661.77,22,False,False
1313,1106,-1,215,421,3015.46,21,False,True
208,2692,4,1714,85,30.32,19,False,False
897,1314,-1,132,1166,325.2,18,False,False
565,2582,884,20,123,2141.93,17,True,True
313,1148,991,887,2715,248.57,15,False,False
233,2135,-1,1297,2723,712.7,19,True,True
2078,1736,401,444,27,264.48,21,False,False
765,1093,-1,815,2480,195.7,23,False,False
2828,351,-1,1069,1153,45.55,18,False,False
111,2428,745,1153,298,927.47,13,False,True
2044,1181,724,245,1833,100.08,0,False,False
1723,2288,-1,1246,309,2144.86,22,False,True
